,avcu_bucket 1,avcu_bucket 2,avcu_bucket 3,avcu_bucket 4,avca_bucket 1,avca_bucket 2,avca_bucket 3,avca_bucket 4,avre_bucket 1,avre_bucket 2,avre_bucket 3,avre_bucket 4,teletrabajo,bucket1,bucket2,bucket3,bucket4,wfh
0,55701,7362,40488,5511,124,1032,188,130,7563,1725,2110,822,47,60657,8719,42008,6281,54246
1,3743,489,3173,191,2,55,9,4,242,47,56,20,37,3883,549,3208,211,3822
2,3722,3290,2933,362,3,419,266,6,260,537,253,49,10671,10732,3870,11972,3204,13732
3,44606,35101,33594,4708,35,6193,3233,24,5791,7731,2789,208,39730,37595,39133,58163,32701,77842
